date,month,total_cases,new_cases,total_deaths,new_deaths
2020-02-26,2,1,1,,
2020-02-27,2,1,0,,
2020-02-28,2,1,0,,
2020-02-29,2,2,1,,
2020-03-01,3,2,0,,
2020-03-02,3,2,0,,
2020-03-03,3,2,0,,
2020-03-04,3,4,2,,
2020-03-05,3,4,0,,
2020-03-06,3,13,9,,
2020-03-07,3,13,0,,
2020-03-08,3,20,7,,
2020-03-09,3,25,5,,
2020-03-10,3,31,6,,
2020-03-11,3,38,7,,
2020-03-12,3,52,14,,
2020-03-13,3,151,99,,
2020-03-14,3,151,0,,
2020-03-15,3,162,11,,
2020-03-16,3,200,38,,
2020-03-17,3,321,121,1,1
2020-03-18,3,372,51,3,2
2020-03-19,3,621,249,6,3
2020-03-20,3,793,172,11,5
2020-03-21,3,1021,228,15,4
2020-03-22,3,1546,525,25,10
2020-03-23,3,1924,378,34,9
2020-03-24,3,2247,323,46,12
2020-03-25,3,2554,307,59,13
2020-03-26,3,2985,431,77,18
2020-03-27,3,3417,432,92,15
2020-03-28,3,3904,487,111,19
2020-03-29,3,4256,352,136,25
2020-03-30,3,4579,323,159,23
2020-03-31,3,5717,1138,201,42
2020-04-01,4,6836,1119,240,39
2020-04-02,4,8044,1208,324,84
2020-04-03,4,9056,1012,359,35
2020-04-04,4,10360,1304,445,86
2020-04-05,4,11130,770,486,41
2020-04-06,4,12161,1031,564,78
2020-04-07,4,14034,1873,686,122
2020-04-08,4,16170,2136,819,133
2020-04-09,4,18092,1922,950,131
2020-04-10,4,19638,1546,1057,107
2020-04-11,4,20727,1089,1124,67
2020-04-12,4,22192,1465,1223,99
2020-04-13,4,23430,1238,1328,105
2020-04-14,4,25262,1832,1532,204
2020-04-15,4,28320,3058,1736,204
2020-04-16,4,30425,2105,1924,188
2020-04-17,4,33682,3257,2141,217
2020-04-18,4,36658,2976,2354,213
2020-04-19,4,38654,1996,2462,108
2020-04-20,4,40743,2089,2587,125
2020-04-21,4,43079,2336,2741,154
2020-04-22,4,45757,2678,2906,165
2020-04-23,4,50036,4279,3331,425
2020-04-24,4,54043,4007,3704,373
2020-04-25,4,59324,5281,4057,353
2020-04-26,4,63100,3776,4286,229
